Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Churned,AvgOrderValue,UniqueProducts,UniqueCountries,Log_Recency,Log_Frequency,Log_Monetary,Cluster,Segment,ChurnProbability,ChurnRisk
12374,25,4,2989.22,4,3,5,12,0,36.01,79,1,3.258096538021482,1.6094379124341003,8.003102242273277,1,Loyal Customers,0.099,Low
12375,11,2,457.5,5,2,2,9,0,26.91,14,1,2.4849066497880004,1.0986122886681098,6.127960291696519,1,Loyal Customers,0.008,Low
12376,390,2,503.15,2,2,2,6,1,38.7,11,1,5.968707559985366,1.0986122886681098,6.222873842839224,0,Lost Customers,0.98,High
12377,315,4,3426.32,2,3,5,10,1,22.54,129,1,5.755742213586912,1.6094379124341003,8.139533893646055,3,At Risk,0.897,High
12378,130,2,5416.32,3,2,5,10,1,17.99,281,1,4.875197323201151,1.0986122886681098,8.597356507200939,3,At Risk,0.763,High
12379,82,4,1620.22,3,3,4,10,0,20.0,58,1,4.418840607796598,1.6094379124341003,7.390934231218893,3,At Risk,0.64,Medium
12380,22,11,9676.3,4,5,5,14,0,34.93,156,1,3.1354942159291497,2.4849066497880004,9.177538215743802,2,Champions,0.004,Low
12381,5,5,1845.31,5,4,4,13,0,21.21,70,1,1.791759469228055,1.791759469228055,7.520944331624911,1,Loyal Customers,0.006,Low
12383,185,5,1850.56,3,4,4,11,1,18.69,84,1,5.225746673713202,1.791759469228055,7.523783805985769,3,At Risk,0.63,Medium
12384,29,2,585.27,4,2,2,8,0,21.68,26,1,3.4011973816621555,1.0986122886681098,6.373780434317173,1,Loyal Customers,0.115,Low
12385,379,1,1938.4,2,1,4,7,1,29.82,65,1,5.940171252720432,0.6931471805599453,7.570133925870446,3,At Risk,0.909,High
12386,338,2,401.9,2,2,2,6,1,40.19,10,1,5.82600010738045,1.0986122886681098,5.998688392197302,0,Lost Customers,0.973,High
12387,415,1,143.94,1,1,1,3,1,15.99,9,1,6.030685260261263,0.6931471805599453,4.976319863681136,0,Lost Customers,0.992,High
12388,16,8,3901.11,5,4,5,14,0,26.72,83,1,2.833213344056216,2.1972245773362196,8.269272711457157,2,Champions,0.003,Low
12389,403,3,1433.33,2,3,4,9,1,29.25,41,1,6.0014148779611505,1.3862943611198906,7.268453120207762,3,At Risk,0.909,High
12390,80,1,549.84,3,1,2,6,0,17.18,32,1,4.394449154672439,0.6931471805599453,6.311444385858925,0,Lost Customers,0.672,High
12391,22,6,2724.84,4,4,4,12,0,10.21,241,1,3.1354942159291497,1.9459101490553132,7.910531916476688,2,Champions,0.043,Low
12392,591,1,234.75,1,1,1,3,1,33.54,7,1,6.3835066348840055,0.6931471805599453,5.462771921513567,0,Lost Customers,0.993,High
12393,72,6,2399.45,3,4,4,11,0,22.42,63,1,4.290459441148391,1.9459101490553132,7.783411498760109,3,At Risk,0.627,Medium
12394,64,2,1272.48,3,2,4,9,0,47.13,26,2,4.174387269895637,1.0986122886681098,7.149508589545504,1,Loyal Customers,0.29,Low
12395,19,15,4721.17,5,5,5,15,0,19.51,145,1,2.995732273553991,2.772588722239781,8.46002371869161,2,Champions,0.003,Low
12396,674,1,931.43,1,1,3,5,1,14.33,65,1,6.51471269087253,0.6931471805599453,6.837794081676172,0,Lost Customers,0.991,High
12397,36,2,2409.9,4,2,4,10,0,19.13,110,1,3.6109179126442243,1.0986122886681098,7.7877554007552545,1,Loyal Customers,0.191,Low
12398,46,1,1635.66,4,1,4,9,0,19.24,85,1,3.8501476017100584,0.6931471805599453,7.400412858792405,1,Loyal Customers,0.226,Low
12399,119,7,1962.3,3,4,4,11,1,17.84,67,1,4.787491742782046,2.0794415416798357,7.582382009904704,3,At Risk,0.636,Medium
12400,414,1,205.25,1,1,1,3,1,18.66,11,1,6.028278520230698,0.6931471805599453,5.32908902521479,0,Lost Customers,0.996,High
12401,303,1,84.3,2,1,1,4,1,16.86,5,1,5.717027701406222,0.6931471805599453,4.446174454497633,0,Lost Customers,0.995,High
12402,323,6,1256.9,2,4,4,10,1,17.96,43,1,5.780743515792329,1.9459101490553132,7.137198942844827,3,At Risk,0.935,High
12403,50,2,1019.36,4,2,3,9,0,113.26,5,1,3.9318256327243257,1.0986122886681098,6.927910785185701,1,Loyal Customers,0.075,Low
12404,682,1,63.24,1,1,1,3,1,63.24,1,1,6.52649485957079,0.6931471805599453,4.162626069638506,0,Lost Customers,0.997,High
12405,149,1,1710.39,3,1,4,8,1,31.67,54,1,5.0106352940962555,0.6931471805599453,7.445061184797548,3,At Risk,0.526,Medium
12406,22,5,6390.36,4,4,5,13,0,38.5,114,1,3.1354942159291497,1.791759469228055,8.762702357276806,2,Champions,0.062,Low
12407,50,5,1708.12,4,4,4,12,0,22.18,57,1,3.9318256327243257,1.791759469228055,7.4437338971514055,3,At Risk,0.036,Low
12408,33,8,4340.77,4,4,5,13,0,27.3,104,1,3.5263605246161616,2.1972245773362196,8.37603737805411,2,Champions,0.062,Low
12409,79,7,23419.29,3,4,5,12,0,88.71,177,1,4.382026634673881,2.0794415416798357,10.061358019654037,2,Champions,0.448,Medium
12410,309,3,1013.71,2,3,3,8,1,25.34,36,1,5.736572297479192,1.3862943611198906,6.9223581363660704,3,At Risk,0.966,High
12411,410,1,346.9,2,1,2,5,1,15.77,22,1,6.018593214496234,0.6931471805599453,5.8519150821578965,0,Lost Customers,0.968,High
12412,75,6,2596.93,3,4,4,11,0,20.45,82,1,4.330733340286331,1.9459101490553132,7.862470253064629,3,At Risk,0.605,Medium
12413,67,4,999.45,3,3,3,9,0,19.6,41,2,4.219507705176107,1.6094379124341003,6.908205177762502,3,At Risk,0.649,Medium
12414,217,6,952.41,2,4,3,9,1,34.01,21,1,5.384495062789089,1.9459101490553132,6.860045031492727,3,At Risk,0.951,High
12415,24,28,144458.37,4,5,5,14,0,156.0,498,1,3.2188758248682006,3.367295829986474,11.88075357052652,2,Champions,0.005,Low
12416,657,1,202.56,1,1,1,3,1,18.41,11,1,6.489204931325317,0.6931471805599453,5.315960801720632,0,Lost Customers,0.996,High
12417,3,20,6797.41,5,5,5,15,0,18.42,270,2,1.3862943611198906,3.044522437723423,8.824444040293804,2,Champions,0.002,Low
12418,113,4,2021.2,3,3,4,10,1,19.82,90,1,4.736198448394496,1.6094379124341003,7.6119413066572985,3,At Risk,0.64,Medium
12419,386,2,503.01,2,2,2,6,1,20.12,23,1,5.958424693029782,1.0986122886681098,6.222596109144375,0,Lost Customers,0.977,High
12420,64,1,600.39,3,1,2,6,0,20.7,29,1,4.174387269895637,0.6931471805599453,6.3992436425478765,1,Loyal Customers,0.822,High
12421,16,6,1098.6,5,4,3,12,0,16.9,44,1,2.833213344056216,1.9459101490553132,7.00270175629109,1,Loyal Customers,0.007,Low
12422,96,17,5231.8,3,5,5,13,1,30.42,137,2,4.574710978503383,2.8903717578961645,8.562701786647002,2,Champions,0.532,Medium
12423,1,10,2622.39,5,5,4,14,0,15.89,128,2,0.6931471805599453,2.3978952727983707,7.872222653526559,2,Champions,0.002,Low
12424,163,4,3340.03,3,3,5,11,1,36.3,78,1,5.099866427824199,1.6094379124341003,8.114034421663943,3,At Risk,0.553,Medium
12425,78,2,1741.41,3,2,4,9,0,19.14,87,1,4.3694478524670215,1.0986122886681098,7.4630244913725114,3,At Risk,0.33,Medium
12426,195,2,1345.21,2,2,4,8,1,17.47,73,1,5.278114659230517,1.0986122886681098,7.205048515865767,3,At Risk,0.851,High
12427,22,3,825.8,4,3,3,10,0,26.64,26,1,3.1354942159291497,1.3862943611198906,6.717562827807613,1,Loyal Customers,0.054,Low
12428,26,9,7956.46,4,5,5,14,0,27.06,258,1,3.295836866004329,2.302585092994046,8.981865132439246,2,Champions,0.003,Low
12429,9,8,6204.41,5,4,5,14,0,40.55,124,2,2.302585092994046,2.1972245773362196,8.733176771201169,2,Champions,0.003,Low
12430,43,1,256.4,4,1,1,6,0,23.31,11,1,3.784189633918261,0.6931471805599453,5.5506312951620265,1,Loyal Customers,0.038,Low
12431,36,27,10432.22,4,5,5,14,0,26.75,244,2,3.6109179126442243,3.332204510175204,9.252750225181329,2,Champions,0.003,Low
12432,43,5,5059.32,4,4,5,13,0,46.85,107,1,3.784189633918261,1.791759469228055,8.529185001388596,3,At Risk,0.078,Low
12433,1,10,16794.14,5,5,5,15,0,30.04,285,1,0.6931471805599453,2.3978952727983707,9.72884483782588,2,Champions,0.003,Low
12434,85,3,1103.43,3,3,3,9,0,15.76,62,1,4.454347296253507,1.3862943611198906,7.007084643758051,3,At Risk,0.575,Medium
12435,80,6,13925.93,3,4,5,12,0,124.34,88,1,4.394449154672439,1.9459101490553132,9.541579654832375,2,Champions,0.498,Medium
12436,100,1,509.01,3,1,2,6,1,31.81,16,1,4.61512051684126,0.6931471805599453,6.234430333369278,0,Lost Customers,0.52,Medium
12437,2,39,12683.4,5,5,5,15,0,22.53,273,1,1.0986122886681098,3.6888794541139363,9.44812817095412,2,Champions,0.003,Low
12438,14,2,2906.85,5,2,4,11,0,29.66,84,1,2.70805020110221,1.0986122886681098,7.9751692554798295,1,Loyal Customers,0.069,Low
12439,683,2,1142.88,1,2,3,6,1,16.1,69,1,6.52795791762255,1.0986122886681098,7.042181271332972,3,At Risk,0.994,High
12440,462,2,859.2,1,2,3,6,1,26.85,21,1,6.137727054086234,1.0986122886681098,6.757164920349636,0,Lost Customers,0.992,High
12441,367,1,173.55,2,1,1,4,1,15.78,11,1,5.908082938168931,0.6931471805599453,5.162211233551045,0,Lost Customers,0.995,High
12442,3,1,172.06,5,1,1,7,0,14.34,12,1,1.3862943611198906,0.6931471805599453,5.153638355178593,1,Loyal Customers,0.012,Low
12443,732,1,485.31,1,1,2,4,1,23.11,21,1,6.597145701886651,0.6931471805599453,6.186846280636522,0,Lost Customers,0.997,High
12444,21,5,5005.46,4,4,5,13,0,28.44,138,1,3.091042453358316,1.791759469228055,8.518484357502437,2,Champions,0.058,Low
12445,22,2,434.98,4,2,2,8,0,18.12,24,1,3.1354942159291497,1.0986122886681098,6.077596370737269,1,Loyal Customers,0.062,Low
12446,58,1,1002.31,4,1,3,8,0,17.58,57,1,4.07753744390572,0.6931471805599453,6.9110598129904375,1,Loyal Customers,0.133,Low
12447,243,1,476.49,2,1,2,5,1,18.33,26,1,5.497168225293202,0.6931471805599453,6.168543217293113,0,Lost Customers,0.982,High
12448,44,1,449.45,4,1,2,7,0,20.43,22,1,3.8066624897703196,0.6931471805599453,6.110247083097449,1,Loyal Customers,0.051,Low
12449,22,6,4835.89,4,4,5,13,0,24.06,125,2,3.1354942159291497,1.9459101490553132,8.484027231195778,2,Champions,0.053,Low
12450,156,5,688.2,3,4,3,10,1,18.6,31,1,5.056245805348308,1.791759469228055,6.5355315046537745,3,At Risk,0.679,High
12451,11,8,12669.88,5,4,5,14,0,24.79,352,1,2.4849066497880004,2.1972245773362196,9.447061726309741,2,Champions,0.003,Low
12452,17,2,430.57,5,2,2,9,0,19.57,21,1,2.8903717578961645,1.0986122886681098,6.067429722163682,1,Loyal Customers,0.008,Low
12453,134,1,707.09,3,1,3,7,1,16.44,43,1,4.90527477843843,0.6931471805599453,6.562571204258897,0,Lost Customers,0.52,Medium
12454,56,5,16679.78,4,4,5,13,0,416.99,24,1,4.04305126783455,1.791759469228055,9.72201243740933,2,Champions,0.061,Low
12455,73,10,5879.95,3,5,5,13,0,25.9,199,2,4.30406509320417,2.3978952727983707,8.679473592468364,2,Champions,0.395,Medium
12456,44,3,3181.04,4,3,5,12,0,25.45,105,1,3.8066624897703196,1.3862943611198906,8.065277779528966,3,At Risk,0.071,Low
12457,66,8,2995.91,3,4,5,12,0,35.67,63,2,4.204692619390966,2.1972245773362196,8.005337036835723,3,At Risk,0.404,Medium
12458,71,4,1777.49,3,3,4,10,0,21.16,71,1,4.276666119016055,1.6094379124341003,7.483519968656931,3,At Risk,0.629,Medium
12459,605,1,454.36,1,1,2,4,1,19.75,23,1,6.406879986069314,0.6931471805599453,6.121088314901487,0,Lost Customers,0.997,High
12460,456,1,326.65,1,1,2,4,1,18.15,18,1,6.124683390894205,0.6931471805599453,5.791945965485506,0,Lost Customers,0.997,High
12461,94,2,826.88,3,2,3,8,1,23.63,35,1,4.553876891600541,1.0986122886681098,6.718868216346018,3,At Risk,0.607,Medium
12462,19,2,1189.59,5,2,3,10,0,19.19,51,1,2.995732273553991,1.0986122886681098,7.082204261557526,1,Loyal Customers,0.014,Low
12463,53,4,1344.78,4,3,4,11,0,16.2,65,1,3.9889840465642745,1.6094379124341003,7.204729049594601,3,At Risk,0.044,Low
12464,10,8,1212.05,5,4,3,12,0,41.79,6,1,2.3978952727983707,2.1972245773362196,7.100893128209941,1,Loyal Customers,0.024,Low
12465,17,2,742.19,5,2,3,10,0,15.79,46,1,2.8903717578961645,1.0986122886681098,6.610951732080795,1,Loyal Customers,0.011,Low
12466,682,1,56.73,1,1,1,3,1,56.73,1,1,6.52649485957079,0.6931471805599453,4.055776969072842,0,Lost Customers,0.998,High
12467,423,1,132.8,1,1,1,3,1,14.76,9,1,6.049733455231958,0.6931471805599453,4.896346147694128,0,Lost Customers,0.994,High
12468,188,5,3670.74,3,4,5,12,1,24.47,127,1,5.241747015059643,1.791759469228055,8.208420943133293,3,At Risk,0.49,Medium
12469,523,2,3070.54,1,2,5,8,1,40.4,76,1,6.261491684321042,1.0986122886681098,8.029934343472139,3,At Risk,0.971,High
12470,690,1,211.95,1,1,1,3,1,9.22,23,1,6.53813982376767,0.6931471805599453,5.3610573963692225,0,Lost Customers,0.996,High
12471,2,79,39918.19,5,5,5,15,0,35.17,255,1,1.0986122886681098,4.382026634673881,10.59461243963838,2,Champions,0.004,Low
12472,32,19,16249.29,4,5,5,14,0,19.32,397,1,3.4965075614664802,2.995732273553991,9.69586603375249,2,Champions,0.004,Low
12473,29,5,3928.05,4,4,5,13,0,23.52,140,1,3.4011973816621555,1.791759469228055,8.276152945361936,2,Champions,0.05,Low
12474,17,31,12372.75,5,5,5,15,0,17.48,369,1,2.8903717578961645,3.4657359027997265,9.423332572234017,2,Champions,0.004,Low
12475,54,2,1149.64,4,2,3,9,0,18.85,54,1,4.007333185232471,1.0986122886681098,7.048073588295634,1,Loyal Customers,0.079,Low
12476,16,23,14083.91,5,5,5,15,0,27.4,358,1,2.833213344056216,3.1780538303479458,9.5528592905137,2,Champions,0.005,Low
12477,23,9,20276.37,4,5,5,14,0,35.95,295,1,3.1780538303479458,2.302585092994046,9.917260764877222,2,Champions,0.004,Low
12478,4,1,680.99,5,1,3,9,0,18.92,36,1,1.6094379124341003,0.6931471805599453,6.525014994979364,1,Loyal Customers,0.025,Low
12479,11,1,527.2,5,1,2,8,0,17.01,31,1,2.4849066497880004,0.6931471805599453,6.269474999863032,1,Loyal Customers,0.018,Low
12480,28,7,5464.85,4,4,5,13,0,22.58,177,1,3.367295829986474,2.0794415416798357,8.606274923740443,2,Champions,0.05,Low
12481,23,15,12185.51,4,5,5,14,0,32.07,248,1,3.1780538303479458,2.772588722239781,9.408084881237475,2,Champions,0.003,Low
12482,576,29,23691.4,1,5,5,11,1,116.13,42,1,6.3578422665081,3.4011973816621555,10.072909600590481,2,Champions,0.965,High
12483,17,19,5097.18,5,5,5,15,0,36.94,68,1,2.8903717578961645,2.995732273553991,8.536638892276656,2,Champions,0.004,Low
12484,33,12,6354.1,4,5,5,14,0,13.49,329,1,3.5263605246161616,2.5649493574615367,8.757012919140978,2,Champions,0.003,Low
12485,529,1,708.1,1,1,3,5,1,20.83,34,1,6.272877006546167,0.6931471805599453,6.563996560309951,0,Lost Customers,0.992,High
12486,432,1,1037.28,1,1,3,5,1,21.17,49,1,6.07073772800249,0.6931471805599453,6.945320776868279,0,Lost Customers,0.992,High
12487,731,1,285.3,1,1,1,3,1,142.65,2,1,6.595780513961311,0.6931471805599453,5.65704021210407,0,Lost Customers,0.997,High
12488,10,3,1298.66,5,3,4,12,0,23.61,46,1,2.3978952727983707,1.3862943611198906,7.169857970780942,1,Loyal Customers,0.006,Low
12489,336,1,334.93,2,1,2,5,1,22.33,15,1,5.820082930352362,0.6931471805599453,5.816902804925467,0,Lost Customers,0.974,High
12490,5,21,9823.64,5,5,5,15,0,21.26,195,1,1.791759469228055,3.091042453358316,9.192648794844782,2,Champions,0.003,Low
12491,39,1,460.4,4,1,2,7,0,17.71,25,1,3.6888794541139363,0.6931471805599453,6.134265345739653,1,Loyal Customers,0.075,Low
12492,63,3,715.21,3,3,3,9,0,17.03,38,1,4.1588830833596715,1.3862943611198906,6.573973420047142,1,Loyal Customers,0.514,Medium
12493,166,2,433.74,3,2,2,7,1,19.72,20,1,5.117993812416755,1.0986122886681098,6.0747481512447195,0,Lost Customers,0.631,Medium
12494,16,9,1815.27,5,5,4,14,0,16.81,83,1,2.833213344056216,2.302585092994046,7.504540226523796,2,Champions,0.002,Low
12495,641,1,357.4,1,1,2,4,1,21.02,17,1,6.464588303689961,0.6931471805599453,5.881649681100775,0,Lost Customers,0.998,High
12496,620,2,45.34,1,2,1,4,1,4.53,10,1,6.431331081933479,1.0986122886681098,3.8360055190042304,0,Lost Customers,0.994,High
12497,82,3,6248.5,3,3,5,11,0,109.62,41,1,4.418840607796598,1.3862943611198906,8.740256739530276,3,At Risk,0.414,Medium
12498,21,3,403.7,4,3,2,9,0,17.55,21,1,3.091042453358316,1.3862943611198906,6.00314605188182,1,Loyal Customers,0.055,Low
12499,560,1,393.72,1,1,2,4,1,14.58,27,1,6.329720905522696,0.6931471805599453,5.9781766527810465,0,Lost Customers,0.997,High
12500,23,19,5955.21,4,5,5,14,0,40.79,88,1,3.1780538303479458,2.995732273553991,8.692189651745124,2,Champions,0.005,Low
12501,337,1,2169.39,2,1,4,7,1,14.56,149,1,5.823045895483019,0.6931471805599453,7.682662153888476,3,At Risk,0.876,High
12502,96,5,3723.87,3,4,5,12,1,25.33,102,1,4.574710978503383,1.791759469228055,8.222787230875806,3,At Risk,0.488,Medium
12503,584,1,1126.0,1,1,3,5,1,563.0,2,1,6.371611847231857,0.6931471805599453,7.027314514039777,0,Lost Customers,0.99,High
12504,18,4,779.05,5,3,3,11,0,38.95,11,1,2.9444389791664403,1.6094379124341003,6.659358020193259,1,Loyal Customers,0.009,Low
12505,409,1,955.2,2,1,3,6,1,22.74,42,1,6.016157159698354,0.6931471805599453,6.862967096192003,0,Lost Customers,0.94,High
12506,233,1,73.5,2,1,1,4,1,3.2,23,1,5.455321115357702,0.6931471805599453,4.310799125385514,0,Lost Customers,0.994,High
12507,134,4,1844.06,3,3,4,10,1,37.63,46,1,4.90527477843843,1.6094379124341003,7.520267076271057,3,At Risk,0.627,Medium
12508,26,2,397.88,4,2,2,8,0,5.85,57,1,3.295836866004329,1.0986122886681098,5.988660619775247,1,Loyal Customers,0.068,Low
12509,284,1,176.5,2,1,1,4,1,25.21,7,1,5.652489180268651,0.6931471805599453,5.178970608915471,0,Lost Customers,0.993,High
12510,143,9,5178.02,3,5,5,13,1,35.71,94,1,4.969813299576001,2.302585092994046,8.552371128165808,3,At Risk,0.425,Medium
12511,429,1,3084.02,1,1,5,7,1,16.23,190,1,6.063785208687608,0.6931471805599453,8.034313419300645,3,At Risk,0.95,High
12512,66,2,132.18,3,2,1,6,0,4.26,31,1,4.204692619390966,1.0986122886681098,4.891701596682476,0,Lost Customers,0.487,Medium
12513,113,1,612.29,3,1,3,7,1,17.49,35,1,4.736198448394496,0.6931471805599453,6.418837907265026,0,Lost Customers,0.501,Medium
12514,267,2,1597.76,2,2,4,8,1,19.02,76,1,5.5909869805108565,1.0986122886681098,7.3769836077601205,3,At Risk,0.855,High
12515,353,1,383.7,2,1,2,5,1,23.98,16,1,5.869296913133774,0.6931471805599453,5.95246380975825,0,Lost Customers,0.97,High
12516,78,4,2648.62,3,3,4,10,0,35.79,49,1,4.3694478524670215,1.6094379124341003,7.882171512471631,3,At Risk,0.55,Medium
12517,28,5,2481.6,4,4,4,12,0,8.89,232,1,3.367295829986474,1.791759469228055,7.817061677081847,1,Loyal Customers,0.04,Low
12518,1,5,2056.89,5,4,4,13,0,16.59,84,1,0.6931471805599453,1.791759469228055,7.629436465014086,1,Loyal Customers,0.006,Low
12519,64,2,716.54,3,2,3,8,0,18.37,34,1,4.174387269895637,1.0986122886681098,6.575828695208771,1,Loyal Customers,0.556,Medium
12520,79,5,2634.26,3,4,4,11,0,17.33,121,1,4.382026634673881,1.791759469228055,7.876737127834484,3,At Risk,0.568,Medium
12521,143,1,599.68,3,1,2,6,1,15.78,38,1,4.969813299576001,0.6931471805599453,6.39806234681208,0,Lost Customers,0.825,High
12522,39,2,192.72,4,2,1,7,0,16.06,11,1,3.6888794541139363,1.0986122886681098,5.266413817535028,1,Loyal Customers,0.099,Low
12523,19,23,4352.35,5,5,5,15,0,17.48,176,1,2.995732273553991,3.1780538303479458,8.378700942638904,2,Champions,0.003,Low
12524,9,17,11126.11,5,5,5,15,0,46.36,157,1,2.302585092994046,2.8903717578961645,9.317139751972052,2,Champions,0.004,Low
12525,498,3,973.73,1,3,3,7,1,16.23,56,1,6.212606095751519,1.3862943611198906,6.882160509570649,3,At Risk,0.993,High
12526,1,3,1316.66,5,3,4,12,0,18.54,64,1,0.6931471805599453,1.3862943611198906,7.183612715167257,1,Loyal Customers,0.005,Low
12527,82,5,735.51,3,4,3,10,0,22.98,26,1,4.418840607796598,1.791759469228055,6.601922813543027,3,At Risk,0.679,High
12528,9,6,1933.48,5,4,4,13,0,21.02,50,1,2.302585092994046,1.9459101490553132,7.567593835498341,1,Loyal Customers,0.006,Low
12529,528,1,316.48,1,1,2,4,1,15.07,21,1,6.270988431858299,0.6931471805599453,5.760414824222675,0,Lost Customers,0.997,High
12530,60,9,3759.26,3,5,5,13,0,23.79,94,1,4.110873864173311,2.302585092994046,8.232243382929433,2,Champions,0.277,Low
12531,15,2,1933.2,5,2,4,11,0,15.22,126,1,2.772588722239781,1.0986122886681098,7.567449083282863,1,Loyal Customers,0.035,Low
12532,30,1,349.83,4,1,2,7,0,21.86,16,1,3.4339872044851463,0.6931471805599453,5.860301775655642,1,Loyal Customers,0.06,Low
12533,628,2,1367.89,1,2,4,7,1,19.0,63,1,6.444131256700441,1.0986122886681098,7.221755471439273,3,At Risk,0.983,High
12534,131,1,1089.18,3,1,3,7,1,17.29,63,1,4.882801922586371,0.6931471805599453,6.9940980992041535,0,Lost Customers,0.763,High
12535,92,2,716.35,3,2,3,8,1,21.07,28,1,4.532599493153256,1.0986122886681098,6.575563866544399,1,Loyal Customers,0.63,Medium
12536,43,3,12601.83,4,3,5,12,0,48.28,260,1,3.784189633918261,1.3862943611198906,9.441676670894656,3,At Risk,0.142,Low
12537,409,1,732.94,2,1,3,6,1,17.05,43,1,6.016157159698354,0.6931471805599453,6.598427281404094,0,Lost Customers,0.908,High
12538,29,2,640.45,4,2,3,9,0,18.84,33,1,3.4011973816621555,1.0986122886681098,6.463731238695349,1,Loyal Customers,0.058,Low
12539,22,7,11214.75,4,4,5,13,0,22.25,276,1,3.1354942159291497,2.0794415416798357,9.325074319439649,2,Champions,0.038,Low
12540,20,33,22254.49,4,5,5,14,0,28.86,354,1,3.044522437723423,3.5263605246161616,10.010343998731724,2,Champions,0.005,Low
12541,30,3,981.18,4,3,3,10,0,18.87,46,1,3.4339872044851463,1.3862943611198906,6.889774590946187,1,Loyal Customers,0.056,Low
12542,484,2,481.88,1,2,2,5,1,12.36,39,1,6.184148890937483,1.0986122886681098,6.179768175579484,0,Lost Customers,0.997,High
12543,448,1,980.25,1,1,3,5,1,22.8,43,1,6.1070228877422545,0.6931471805599453,6.888827269096618,0,Lost Customers,0.994,High
