Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Churned,AvgOrderValue,UniqueProducts,UniqueCountries
12403,50,2,1019.36,4,2,3,9,0,113.26,5,1
12404,682,1,63.24,1,1,1,3,1,63.24,1,1
12405,149,1,1710.39,3,1,4,8,1,31.67,54,1
12406,22,5,6390.36,4,4,5,13,0,38.5,114,1
12407,50,5,1708.12,4,4,4,12,0,22.18,57,1
12408,33,8,4340.77,4,4,5,13,0,27.3,104,1
12409,79,7,23419.29,3,4,5,12,0,88.71,177,1
12410,309,3,1013.71,2,3,3,8,1,25.34,36,1
12411,410,1,346.9,2,1,2,5,1,15.77,22,1
12412,75,6,2596.93,3,4,4,11,0,20.45,82,1
12413,67,4,999.45,3,3,3,9,0,19.6,41,2
12414,217,6,952.41,2,4,3,9,1,34.01,21,1
12415,24,28,144458.37,4,5,5,14,0,156.0,498,1
12416,657,1,202.56,1,1,1,3,1,18.41,11,1
12417,3,20,6797.41,5,5,5,15,0,18.42,270,2
12418,113,4,2021.2,3,3,4,10,1,19.82,90,1
12419,386,2,503.01,2,2,2,6,1,20.12,23,1
12420,64,1,600.39,3,1,2,6,0,20.7,29,1
12421,16,6,1098.6,5,4,3,12,0,16.9,44,1
12422,96,17,5231.8,3,5,5,13,1,30.42,137,2
12423,1,10,2622.39,5,5,4,14,0,15.89,128,2
12424,163,4,3340.03,3,3,5,11,1,36.3,78,1
12425,78,2,1741.41,3,2,4,9,0,19.14,87,1
12426,195,2,1345.21,2,2,4,8,1,17.47,73,1
12427,22,3,825.8,4,3,3,10,0,26.64,26,1
12428,26,9,7956.46,4,5,5,14,0,27.06,258,1
12429,9,8,6204.41,5,4,5,14,0,40.55,124,2
12430,43,1,256.4,4,1,1,6,0,23.31,11,1
12431,36,27,10432.22,4,5,5,14,0,26.75,244,2
12432,43,5,5059.32,4,4,5,13,0,46.85,107,1
12433,1,10,16794.14,5,5,5,15,0,30.04,285,1
12434,85,3,1103.43,3,3,3,9,0,15.76,62,1
12435,80,6,13925.93,3,4,5,12,0,124.34,88,1
12436,100,1,509.01,3,1,2,6,1,31.81,16,1
12437,2,39,12683.4,5,5,5,15,0,22.53,273,1
12438,14,2,2906.85,5,2,4,11,0,29.66,84,1
12439,683,2,1142.88,1,2,3,6,1,16.1,69,1
12440,462,2,859.2,1,2,3,6,1,26.85,21,1
12441,367,1,173.55,2,1,1,4,1,15.78,11,1
12442,3,1,172.06,5,1,1,7,0,14.34,12,1
12443,732,1,485.31,1,1,2,4,1,23.11,21,1
12444,21,5,5005.46,4,4,5,13,0,28.44,138,1
12445,22,2,434.98,4,2,2,8,0,18.12,24,1
12446,58,1,1002.31,4,1,3,8,0,17.58,57,1
12447,243,1,476.49,2,1,2,5,1,18.33,26,1
12448,44,1,449.45,4,1,2,7,0,20.43,22,1
12449,22,6,4835.89,4,4,5,13,0,24.06,125,2
12450,156,5,688.2,3,4,3,10,1,18.6,31,1
12451,11,8,12669.88,5,4,5,14,0,24.79,352,1
12452,17,2,430.57,5,2,2,9,0,19.57,21,1
12453,134,1,707.09,3,1,3,7,1,16.44,43,1
12454,56,5,16679.78,4,4,5,13,0,416.99,24,1
12455,73,10,5879.95,3,5,5,13,0,25.9,199,2
12456,44,3,3181.04,4,3,5,12,0,25.45,105,1
12457,66,8,2995.91,3,4,5,12,0,35.67,63,2
12458,71,4,1777.49,3,3,4,10,0,21.16,71,1
12459,605,1,454.36,1,1,2,4,1,19.75,23,1
12460,456,1,326.65,1,1,2,4,1,18.15,18,1
12461,94,2,826.88,3,2,3,8,1,23.63,35,1
12462,19,2,1189.59,5,2,3,10,0,19.19,51,1
12463,53,4,1344.78,4,3,4,11,0,16.2,65,1
12464,10,8,1212.05,5,4,3,12,0,41.79,6,1
12465,17,2,742.19,5,2,3,10,0,15.79,46,1
12466,682,1,56.73,1,1,1,3,1,56.73,1,1
12467,423,1,132.8,1,1,1,3,1,14.76,9,1
12468,188,5,3670.74,3,4,5,12,1,24.47,127,1
12469,523,2,3070.54,1,2,5,8,1,40.4,76,1
12470,690,1,211.95,1,1,1,3,1,9.22,23,1
12471,2,79,39918.19,5,5,5,15,0,35.17,255,1
12472,32,19,16249.29,4,5,5,14,0,19.32,397,1
12473,29,5,3928.05,4,4,5,13,0,23.52,140,1
12474,17,31,12372.75,5,5,5,15,0,17.48,369,1
12475,54,2,1149.64,4,2,3,9,0,18.85,54,1
12476,16,23,14083.91,5,5,5,15,0,27.4,358,1
12477,23,9,20276.37,4,5,5,14,0,35.95,295,1
12478,4,1,680.99,5,1,3,9,0,18.92,36,1
12479,11,1,527.2,5,1,2,8,0,17.01,31,1
12480,28,7,5464.85,4,4,5,13,0,22.58,177,1
12481,23,15,12185.51,4,5,5,14,0,32.07,248,1
12482,576,29,23691.4,1,5,5,11,1,116.13,42,1
12483,17,19,5097.18,5,5,5,15,0,36.94,68,1
12484,33,12,6354.1,4,5,5,14,0,13.49,329,1
12485,529,1,708.1,1,1,3,5,1,20.83,34,1
12486,432,1,1037.28,1,1,3,5,1,21.17,49,1
12487,731,1,285.3,1,1,1,3,1,142.65,2,1
12488,10,3,1298.66,5,3,4,12,0,23.61,46,1
12489,336,1,334.93,2,1,2,5,1,22.33,15,1
12490,5,21,9823.64,5,5,5,15,0,21.26,195,1
12491,39,1,460.4,4,1,2,7,0,17.71,25,1
12492,63,3,715.21,3,3,3,9,0,17.03,38,1
12493,166,2,433.74,3,2,2,7,1,19.72,20,1
12494,16,9,1815.27,5,5,4,14,0,16.81,83,1
12495,641,1,357.4,1,1,2,4,1,21.02,17,1
12496,620,2,45.34,1,2,1,4,1,4.53,10,1
12497,82,3,6248.5,3,3,5,11,0,109.62,41,1
12498,21,3,403.7,4,3,2,9,0,17.55,21,1
12499,560,1,393.72,1,1,2,4,1,14.58,27,1
12500,23,19,5955.21,4,5,5,14,0,40.79,88,1
12501,337,1,2169.39,2,1,4,7,1,14.56,149,1
12502,96,5,3723.87,3,4,5,12,1,25.33,102,1
12503,584,1,1126.0,1,1,3,5,1,563.0,2,1
12504,18,4,779.05,5,3,3,11,0,38.95,11,1
12505,409,1,955.2,2,1,3,6,1,22.74,42,1
12506,233,1,73.5,2,1,1,4,1,3.2,23,1
12507,134,4,1844.06,3,3,4,10,1,37.63,46,1
12508,26,2,397.88,4,2,2,8,0,5.85,57,1
12509,284,1,176.5,2,1,1,4,1,25.21,7,1
12510,143,9,5178.02,3,5,5,13,1,35.71,94,1
12511,429,1,3084.02,1,1,5,7,1,16.23,190,1
12512,66,2,132.18,3,2,1,6,0,4.26,31,1
12513,113,1,612.29,3,1,3,7,1,17.49,35,1
12514,267,2,1597.76,2,2,4,8,1,19.02,76,1
12515,353,1,383.7,2,1,2,5,1,23.98,16,1
12516,78,4,2648.62,3,3,4,10,0,35.79,49,1
12517,28,5,2481.6,4,4,4,12,0,8.89,232,1
12518,1,5,2056.89,5,4,4,13,0,16.59,84,1
12519,64,2,716.54,3,2,3,8,0,18.37,34,1
12520,79,5,2634.26,3,4,4,11,0,17.33,121,1
12521,143,1,599.68,3,1,2,6,1,15.78,38,1
12522,39,2,192.72,4,2,1,7,0,16.06,11,1
12523,19,23,4352.35,5,5,5,15,0,17.48,176,1
12524,9,17,11126.11,5,5,5,15,0,46.36,157,1
12525,498,3,973.73,1,3,3,7,1,16.23,56,1
12526,1,3,1316.66,5,3,4,12,0,18.54,64,1
12527,82,5,735.51,3,4,3,10,0,22.98,26,1
12528,9,6,1933.48,5,4,4,13,0,21.02,50,1
12529,528,1,316.48,1,1,2,4,1,15.07,21,1
12530,60,9,3759.26,3,5,5,13,0,23.79,94,1
12531,15,2,1933.2,5,2,4,11,0,15.22,126,1
12532,30,1,349.83,4,1,2,7,0,21.86,16,1
12533,628,2,1367.89,1,2,4,7,1,19.0,63,1
12534,131,1,1089.18,3,1,3,7,1,17.29,63,1
12535,92,2,716.35,3,2,3,8,1,21.07,28,1
12536,43,3,12601.83,4,3,5,12,0,48.28,260,1
12537,409,1,732.94,2,1,3,6,1,17.05,43,1
12538,29,2,640.45,4,2,3,9,0,18.84,33,1
12539,22,7,11214.75,4,4,5,13,0,22.25,276,1
12540,20,33,22254.49,4,5,5,14,0,28.86,354,1
12541,30,3,981.18,4,3,3,10,0,18.87,46,1
12542,484,2,481.88,1,2,2,5,1,12.36,39,1
12543,448,1,980.25,1,1,3,5,1,22.8,43,1
12544,36,1,372.7,4,1,2,7,0,19.62,19,1
12545,75,2,1000.39,3,2,3,8,0,20.01,42,1
12546,47,2,1161.5,4,2,3,9,0,16.83,59,1
12547,198,3,383.58,2,3,2,7,1,18.27,13,1
12548,166,1,95.2,3,1,1,5,1,19.04,5,1
12549,576,6,1575.68,1,4,4,9,1,32.16,38,1
12550,79,1,964.83,3,1,3,7,0,16.93,57,1
12551,358,1,168.0,2,1,1,4,1,16.8,10,1
12552,39,2,437.82,4,2,2,8,0,21.89,20,1
12553,8,12,4608.75,5,5,5,15,0,19.36,109,1
12554,449,1,468.5,1,1,2,4,1,18.02,26,1
12555,682,1,129.23,1,1,1,3,1,129.23,1,1
12556,50,2,599.56,4,2,2,8,0,5.04,100,1
12557,16,8,18096.14,5,4,5,14,0,341.44,15,1
12558,8,1,269.96,5,1,1,7,0,24.54,11,1
12559,311,2,561.71,2,2,2,6,1,26.75,21,1
12560,5,3,2134.01,5,3,4,12,0,20.32,91,1
12561,303,1,238.85,2,1,1,4,1,14.93,16,1
12562,8,9,4966.92,5,5,5,15,0,23.99,113,1
12563,409,1,249.24,2,1,1,4,1,19.17,13,1
12564,261,1,456.9,2,1,2,5,1,21.76,21,1
12565,289,1,145.92,2,1,1,4,1,16.21,9,1
12566,86,1,351.65,3,1,2,6,0,18.51,19,1
12567,23,15,11767.48,4,5,5,14,0,21.16,365,1
12568,645,1,70.0,1,1,1,3,1,14.0,5,1
12569,2,32,4124.69,5,5,5,15,0,21.94,92,1
12570,682,1,77.52,1,1,1,3,1,77.52,1,1
12571,40,2,519.61,4,2,2,8,0,15.28,31,1
12572,9,2,1020.42,5,2,3,10,0,17.01,53,1
12573,227,5,717.41,2,4,3,9,1,6.03,107,1
12574,316,1,218.45,2,1,1,4,1,19.86,11,1
12575,457,2,622.82,1,2,3,6,1,16.39,34,1
12576,36,8,2142.72,4,4,4,12,0,15.09,114,1
12577,35,8,1617.1,4,4,4,12,0,5.43,259,1
12578,21,4,4642.45,4,3,5,12,0,26.99,149,1
12579,78,1,440.42,3,1,2,6,0,15.19,29,1
12580,247,2,1052.9,2,2,3,7,1,18.15,52,1
12581,40,1,197.71,4,1,1,6,0,13.18,15,1
12582,239,4,1980.4,2,3,4,9,1,19.23,88,1
12583,3,27,13591.58,5,5,5,15,0,30.47,141,1
12584,4,9,2338.15,5,5,4,14,0,24.36,44,1
12585,234,2,2040.1,2,2,4,8,1,23.45,77,1
12586,17,4,2062.67,5,3,4,12,0,21.94,82,1
12587,8,1,144.0,5,1,1,7,0,36.0,4,1
12588,39,4,958.78,4,3,3,10,0,20.84,31,1
12589,29,8,4695.66,4,4,5,13,0,26.09,121,1
12590,211,2,9864.26,2,2,5,9,1,145.06,68,1
12591,317,3,1338.95,2,3,4,9,1,19.69,63,1
12592,92,5,2582.66,3,4,4,11,1,31.88,42,1
12593,109,3,418.1,3,3,2,8,1,19.91,14,1
12594,38,15,5090.11,4,5,5,14,0,25.58,78,1
12595,505,1,299.02,1,1,2,4,1,15.74,19,1
12596,51,2,618.27,4,2,3,9,0,22.9,25,1
12597,19,4,3811.22,5,3,5,13,0,18.5,184,1
12598,10,11,4534.09,5,5,5,15,0,22.01,130,1
12599,29,13,2296.72,4,5,4,13,0,17.27,47,1
12600,29,21,4967.42,4,5,5,14,0,38.21,53,1
12601,190,6,681.26,2,4,3,9,1,20.04,24,1
12602,59,1,153.12,4,1,1,6,0,12.76,12,1
12603,22,1,739.2,4,1,3,8,0,369.6,2,1
12604,79,2,254.18,3,2,1,6,0,15.89,15,1
12605,376,4,1232.95,2,3,4,9,1,16.22,63,1
12606,682,1,21.0,1,1,1,3,1,21.0,1,1
12607,60,1,1579.51,3,1,4,8,0,15.64,101,1
12608,405,1,415.79,2,1,2,5,1,25.99,16,1
12609,78,9,3435.86,3,5,5,13,0,19.63,129,1
12610,23,5,2099.54,4,4,4,12,0,19.81,85,1
12611,52,1,1193.32,4,1,3,8,0,18.36,65,1
12612,74,1,704.04,3,1,3,7,0,37.05,19,1
12613,57,10,6817.37,4,5,5,14,0,20.91,218,1
12614,278,1,315.6,2,1,2,5,1,15.78,20,1
12615,2,8,5740.98,5,4,5,14,0,21.26,198,1
12616,95,3,1131.1,3,3,3,9,1,20.95,32,1
12617,29,1,352.98,4,1,2,7,0,8.61,39,1
12618,22,1,177.31,4,1,1,6,0,16.12,11,1
12619,16,10,3781.38,5,5,5,15,0,37.81,55,1
12620,15,3,1339.41,5,3,4,12,0,14.56,89,1
12621,2,35,24311.2,5,5,5,15,0,32.16,344,1
12622,232,1,180.1,2,1,1,4,1,16.37,11,1
12623,276,7,3747.84,2,4,5,11,1,21.66,112,1
12624,106,2,641.13,3,2,3,8,1,16.87,36,1
12625,212,4,5164.88,2,3,5,10,1,28.22,144,1
12626,23,9,6620.48,4,5,5,14,0,22.52,232,1
12627,11,7,4478.53,5,4,5,14,0,19.47,162,1
12628,4,3,786.46,5,3,3,11,0,19.18,34,1
12629,386,2,1558.22,2,2,4,8,1,34.63,40,1
12630,10,2,1270.88,5,2,4,11,0,19.86,60,1
12631,57,6,3481.57,4,4,5,13,0,19.02,131,1
12632,521,2,804.88,1,2,3,6,1,23.0,32,1
12633,59,7,5678.16,4,4,5,13,0,18.56,220,1
12634,536,2,490.0,1,2,2,5,1,24.5,20,1
12635,90,4,2930.41,3,3,5,11,0,16.37,159,1
12636,739,1,141.0,1,1,1,3,1,141.0,1,1
12637,67,12,8283.81,3,5,5,13,0,13.49,295,1
12638,33,2,921.49,4,2,3,9,0,19.2,47,1
12639,239,3,1312.37,2,3,4,9,1,20.51,58,1
12640,24,3,1174.58,4,3,3,10,0,22.16,47,1
12641,115,1,185.9,3,1,1,5,1,18.59,10,1
12642,25,3,1013.26,4,3,3,10,0,21.56,39,1
12643,128,12,8304.82,3,5,5,13,1,162.84,14,1
12644,130,4,1918.49,3,3,4,10,1,17.28,106,1
12645,34,8,3539.3,4,4,5,13,0,22.12,111,1
12646,5,2,1346.97,5,2,4,11,0,29.93,43,1
12647,22,36,16955.55,4,5,5,14,0,32.92,240,1
12648,155,4,1112.0,3,3,3,9,1,17.11,38,1
12649,107,8,2294.65,3,4,4,11,1,19.45,94,1
12650,3,1,314.44,5,1,2,8,0,15.72,20,1
12651,335,4,377.75,2,3,2,7,1,12.59,30,1
12652,331,2,1017.03,2,2,3,7,1,19.94,51,2
12653,149,3,4160.83,3,3,5,11,1,48.38,76,1
12654,11,5,601.98,5,4,2,11,0,15.84,31,1
12655,424,1,261.35,1,1,1,3,1,16.33,16,1
12656,17,8,6407.83,5,4,5,14,0,25.94,174,1
12657,11,4,1643.18,5,3,4,12,0,34.96,35,1
12658,19,1,686.05,5,1,3,9,0,19.06,36,1
12659,30,1,91.68,4,1,1,6,0,18.34,5,1
12660,11,1,245.1,5,1,1,7,0,18.85,13,1
12661,436,1,162.0,1,1,1,3,1,14.73,11,1
12662,1,20,6726.54,5,5,5,15,0,17.2,163,1
12663,625,2,239.4,1,2,1,4,1,23.94,9,1
12664,8,11,6070.04,5,5,5,15,0,134.89,10,1
12665,325,3,313.6,2,3,2,7,1,18.45,13,1
12666,394,1,1248.42,2,1,4,7,1,40.27,31,1
12667,58,1,620.13,4,1,3,8,0,18.79,33,1
12668,12,10,11383.03,5,5,5,15,0,21.24,263,1
12669,151,3,2744.03,3,3,4,10,1,27.17,98,1
12670,10,7,3760.29,5,4,5,14,0,32.7,71,1
12671,606,1,2622.48,1,1,4,6,1,58.28,45,1
12672,330,2,437.05,2,2,2,6,1,19.87,22,1
12673,5,3,1230.02,5,3,4,12,0,16.62,68,1
12674,39,4,1970.6,4,3,4,11,0,23.74,52,1
12675,554,2,957.25,1,2,3,6,1,8.55,111,1
12676,25,11,2843.09,4,5,4,13,0,26.57,67,1
12677,555,2,395.1,1,2,2,5,1,18.81,13,1
12678,42,21,34281.18,4,5,5,14,0,91.17,199,1
12679,59,4,1113.02,4,3,3,10,0,23.19,43,1
12680,1,4,880.81,5,3,3,11,0,16.62,33,1
12681,15,45,29834.76,5,5,5,15,0,20.95,459,1
12682,4,52,22950.22,5,5,5,15,0,23.21,327,1
12683,4,21,11633.7,5,5,5,15,0,23.89,236,1
12684,8,7,2283.63,5,4,4,13,0,21.75,61,1
12685,28,6,2863.08,4,4,4,12,0,18.24,117,1
12686,372,1,89.14,2,1,1,4,1,12.73,7,1
12687,481,2,2138.91,1,2,4,7,1,16.98,126,1
12688,114,1,4873.81,3,1,5,9,1,28.5,171,1
12689,26,2,1247.61,4,2,4,10,0,17.33,57,1
12690,206,1,389.01,2,1,2,5,1,24.31,16,1
12691,28,7,1170.4,4,4,3,11,0,30.01,24,1
12692,637,1,110.95,1,1,1,3,1,8.53,13,1
12693,127,7,1703.02,3,4,4,11,1,21.56,63,1
12694,70,3,1843.35,3,3,4,10,0,22.21,69,1
12695,7,7,1407.12,5,4,4,13,0,23.85,46,1
12696,435,2,851.91,1,2,3,6,1,17.39,43,1
12697,29,3,957.59,4,3,3,10,0,23.36,37,1
12698,590,1,339.75,1,1,2,4,1,21.23,16,1
12699,418,1,638.11,1,1,3,5,1,15.56,41,1
12700,8,4,4939.99,5,3,5,13,0,18.43,193,1
12701,80,6,2446.41,3,4,4,11,0,16.64,118,1
12702,20,1,219.0,4,1,1,6,0,18.25,12,1
12703,71,4,1006.53,3,3,3,9,0,13.6,56,1
12704,7,8,2340.84,5,4,4,13,0,26.6,64,1
12705,15,14,11762.1,5,5,5,15,0,19.64,320,1
12707,292,1,603.42,2,1,2,5,1,18.29,33,1
12708,30,18,5117.66,4,5,5,14,0,17.29,130,1
12709,15,34,30291.76,5,5,5,15,0,61.82,189,1
12710,97,3,1149.02,3,3,3,9,1,14.92,75,1
12711,612,2,1339.05,1,2,4,7,1,22.32,56,1
12712,29,21,6723.03,4,5,5,14,0,26.26,126,1
12713,1,1,848.55,5,1,3,9,0,22.33,38,1
12714,9,12,14093.71,5,5,5,15,0,20.25,436,1
12715,106,1,343.36,3,1,2,6,1,17.17,20,1
12716,4,2,1053.49,5,2,3,10,0,15.27,60,1
12717,151,3,1308.91,3,3,4,10,1,18.44,60,1
12718,71,1,238.25,3,1,1,5,0,12.54,19,1
12719,5,2,644.95,5,2,3,10,0,16.54,34,1
12720,3,30,7787.28,5,5,5,15,0,16.26,262,1
12721,32,8,4013.08,4,4,5,13,0,16.79,183,1
12722,85,4,997.63,3,3,3,9,0,18.82,50,1
12723,4,5,725.07,5,4,3,12,0,10.51,53,1
12724,5,7,2317.52,5,4,4,13,0,17.97,94,1
12725,371,4,2266.76,2,3,4,9,1,21.38,92,1
12726,28,11,4014.6,4,5,5,14,0,22.43,63,1
12727,11,10,5679.53,5,5,5,15,0,27.98,132,1
12728,71,5,1070.17,3,4,3,10,0,17.54,48,1
12729,114,1,453.01,3,1,2,6,1,17.42,26,1
12730,522,1,829.25,1,1,3,5,1,17.64,47,1
12731,24,17,25775.71,4,5,5,14,0,65.59,137,1
12732,180,1,236.26,3,1,1,5,1,19.69,12,1
12733,234,4,2424.87,2,3,4,9,1,15.45,117,1
12734,353,3,639.65,2,3,3,8,1,33.67,17,1
12735,315,2,779.57,2,2,3,7,1,18.13,38,1
12736,333,1,234.0,2,1,1,4,1,58.5,4,1
12737,499,2,3710.5,1,2,5,8,1,1855.25,2,1
12738,372,1,155.35,2,1,1,4,1,14.12,11,1
12739,78,4,2726.73,3,3,4,10,0,30.64,85,1
12740,64,1,427.6,3,1,2,6,0,15.84,27,1
12741,529,2,406.07,1,2,2,5,1,25.38,16,1
12742,626,1,1201.52,1,1,3,5,1,17.93,67,1
12743,134,2,540.13,3,2,2,7,1,4.12,114,1
12744,52,11,25317.06,4,5,5,14,0,74.68,245,1
12745,487,3,925.41,1,3,3,7,1,40.24,21,2
12746,541,1,254.55,1,1,1,3,1,14.97,17,1
12747,2,26,8898.48,5,5,5,15,0,35.74,85,1
12748,1,336,53539.64,5,5,5,15,0,8.13,2286,1
12749,4,9,6897.36,5,5,5,15,0,20.41,260,1
12750,129,1,275.88,3,1,1,5,1,18.39,15,1
12751,445,1,268.27,1,1,1,3,1,4.33,61,1
12752,81,1,4366.78,3,1,5,9,0,82.39,53,1
12753,23,6,21429.39,4,4,5,13,0,108.78,132,1
12754,236,3,3010.74,2,3,5,10,1,47.79,49,1
12755,281,11,5236.26,2,5,5,12,1,83.12,34,1
12756,87,1,112.08,3,1,1,5,0,28.02,4,1
12757,16,13,7834.65,5,5,5,15,0,21.52,237,1
12758,117,7,9903.24,3,4,5,12,1,31.64,187,1
12759,52,8,5020.74,4,4,5,13,0,16.62,206,1
12760,456,1,347.8,1,1,2,4,1,16.56,21,1
12761,458,2,782.95,1,2,3,6,1,29.0,27,1
12762,8,2,1898.52,5,2,4,11,0,27.51,62,1
12763,138,2,494.08,3,2,2,7,1,27.45,16,1
12764,317,1,1693.88,2,1,4,7,1,37.64,45,1
12765,472,6,1404.58,1,4,4,9,1,20.66,49,1
12766,4,9,8918.99,5,5,5,15,0,22.19,253,1
12767,376,1,949.82,2,1,3,6,1,22.09,43,1
12768,451,1,168.69,1,1,1,3,1,16.87,10,1
12769,239,1,1143.6,2,1,3,6,1,35.74,32,1
12770,211,2,3246.45,2,2,5,9,1,115.94,19,1
12771,486,1,282.3,1,1,1,3,1,18.82,15,1
12772,60,1,892.47,3,1,3,7,0,16.23,55,1
12773,564,1,124.25,1,1,1,3,1,20.71,6,1
12774,536,1,98.7,1,1,1,3,1,16.45,6,1
12775,17,7,1686.12,5,4,4,13,0,20.82,55,1
12776,668,1,55.5,1,1,1,3,1,13.88,4,1
12777,458,1,519.45,1,1,2,4,1,19.98,26,1
12778,20,9,1775.68,4,5,4,13,0,15.58,77,1
12779,38,14,6474.11,4,5,5,14,0,24.07,142,1
12780,599,1,337.4,1,1,2,4,1,16.87,20,1
12781,64,2,826.74,3,2,3,8,0,33.07,25,1
12782,5,11,4618.24,5,5,5,15,0,20.34,142,1
12783,2,6,2225.91,5,4,4,13,0,26.5,76,1
12784,9,3,1763.15,5,3,4,12,0,13.67,121,1
12785,364,3,1100.4,2,3,3,8,1,19.65,42,1
12786,610,1,728.5,1,1,3,5,1,40.47,18,1
12787,10,4,862.18,5,3,3,11,0,19.6,30,1
12788,463,4,444.9,1,3,2,6,1,17.11,20,1
12789,65,3,273.35,3,3,1,7,0,34.17,5,1
12790,192,2,591.85,2,2,2,6,1,16.0,36,1
12791,374,6,863.51,2,4,3,9,1,30.84,17,1
12792,257,2,827.01,2,2,3,7,1,17.6,39,1
12793,335,3,885.53,2,3,3,8,1,20.13,34,1
12794,53,2,860.41,4,2,3,9,0,19.12,43,1
12795,19,1,430.48,5,1,2,8,0,30.75,14,1
12796,628,1,381.0,1,1,2,4,1,54.43,7,1
12797,366,2,552.08,2,2,2,6,1,18.4,27,1
12798,10,4,8510.93,5,3,5,13,0,257.91,27,1
12799,529,1,219.35,1,1,1,3,1,14.62,15,1
12800,470,3,584.25,1,3,2,6,1,17.18,31,1
12801,501,1,1071.82,1,1,3,5,1,21.44,50,1
12802,187,7,2416.42,3,4,4,11,1,17.51,108,1
12803,393,1,1092.81,2,1,3,6,1,19.87,55,1
12804,466,2,325.37,1,2,2,5,1,4.93,60,1
12805,382,4,1434.95,2,3,4,9,1,24.74,44,1
12806,435,4,2878.96,1,3,4,8,1,42.97,58,1
12807,383,1,330.35,2,1,2,5,1,20.65,16,1
12808,37,5,776.7,4,4,3,11,0,16.53,46,1
12809,178,3,1755.94,3,3,4,10,1,21.68,75,1
12810,535,2,534.99,1,2,2,5,1,16.72,32,1
12811,261,5,1033.9,2,4,3,9,1,18.46,47,1
12812,45,1,229.64,4,1,1,6,0,15.31,15,1
12813,502,3,1687.8,1,3,4,8,1,37.51,37,1
12814,102,1,125.92,3,1,1,5,1,62.96,2,1
12815,148,2,1063.46,3,2,3,8,1,22.63,38,1
